# doritrack schema=2 source=android transport=synthetic-wifi synthetic=true motion_event_precision_ns=1000000 driver_low_latency=unverified ap_wmm=unverified
# dropped=0 omitted_incidents=0 omitted_evidence=0
kind,at_ns,session,sequence,a,b,c,d,e,f,g,h
22,6608200000,7,701,1,6600200000,1,6607220000,64,5608060000,0,0
23,6608200000,7,701,6607220000,6607000000,6607200000,1,6607299000,2,1,701
20,6615220000,7,702,6615000000,6615200000,1,1,64,0,0,0
21,6615310000,7,702,6615300000,6615220000,1,0,6615310000,0,6615299000,1
21,6615330000,7,702,6615320000,6615220000,2,0,6615330000,0,6615319000,1
22,6616200000,7,702,1,6608200000,1,6615220000,64,5616060000,0,0
23,6616200000,7,702,6615220000,6615000000,6615200000,1,6615299000,2,1,702
20,6623220000,7,703,6623000000,6623200000,1,1,64,0,0,0
21,6623310000,7,703,6623300000,6623220000,1,0,6623310000,0,6623299000,1
21,6623330000,7,703,6623320000,6623220000,2,0,6623330000,0,6623319000,1
22,6624200000,7,703,1,6616200000,1,6623220000,64,5624060000,0,0
23,6624200000,7,703,6623220000,6623000000,6623200000,1,6623299000,2,1,703
20,6631220000,7,704,6631000000,6631200000,3,1,64,0,0,0
21,6631310000,7,704,6631300000,6631220000,1,0,6631310000,0,6631299000,3
21,6631330000,7,704,6631320000,6631220000,2,0,6631330000,0,6631319000,3
22,6632200000,7,704,1,6624200000,1,6631220000,64,5632060000,0,0
23,6632200000,7,704,6631220000,6631000000,6631200000,3,6631299000,2,1,704
22,8800200000,7,975,1,8792200000,1,8799220000,64,7800060000,0,0
23,8800200000,7,975,8799220000,8799000000,8799200000,1,8799299000,2,1,975
20,8807220000,7,976,8807000000,8807200000,3,1,64,0,0,0
21,8807310000,7,976,8807300000,8807220000,1,0,8807310000,0,8807299000,3
21,8807330000,7,976,8807320000,8807220000,2,0,8807330000,0,8807319000,3
22,8808200000,7,976,1,8800200000,1,8807220000,64,7808060000,0,0
23,8808200000,7,976,8807220000,8807000000,8807200000,3,8807299000,2,1,976
20,8815220000,7,977,8815000000,8815200000,1,1,64,0,0,0
21,8815310000,7,977,8815300000,8815220000,1,0,8815310000,0,8815299000,1
21,8815330000,7,977,8815320000,8815220000,2,0,8815330000,0,8815319000,1
22,8816200000,7,977,1,8808200000,1,8815220000,64,7816060000,0,0
23,8816200000,7,977,8815220000,8815000000,8815200000,1,8815299000,2,1,977
20,8823220000,7,978,8823000000,8823200000,1,1,64,0,0,0
21,8823310000,7,978,8823300000,8823220000,1,0,8823310000,0,8823299000,1
21,8823330000,7,978,8823320000,8823220000,2,0,8823330000,0,8823319000,1
22,8824200000,7,978,1,8816200000,1,8823220000,64,7824060000,0,0
23,8824200000,7,978,8823220000,8823000000,8823200000,1,8823299000,2,1,978
20,8831220000,7,979,8831000000,8831200000,1,1,64,0,0,0
21,8831310000,7,979,8831300000,8831220000,1,0,8831310000,0,8831299000,1
21,8831330000,7,979,8831320000,8831220000,2,0,8831330000,0,8831319000,1
22,8832200000,7,979,1,8824200000,1,8831220000,64,7832060000,0,0
23,8832200000,7,979,8831220000,8831000000,8831200000,1,8831299000,2,1,979
20,8839220000,7,980,8839000000,8839200000,1,1,64,0,0,0
21,8839310000,7,980,8839300000,8839220000,1,0,8839310000,0,8839299000,1
21,8839330000,7,980,8839320000,8839220000,2,0,8839330000,0,8839319000,1
22,8840200000,7,980,1,8832200000,1,8839220000,64,7840060000,0,0
23,8840200000,7,980,8839220000,8839000000,8839200000,1,8839299000,2,1,980
20,8847220000,7,981,8847000000,8847200000,1,1,64,0,0,0
21,8847310000,7,981,8847300000,8847220000,1,0,8847310000,0,8847299000,1
21,8847330000,7,981,8847320000,8847220000,2,0,8847330000,0,8847319000,1
22,8848200000,7,981,1,8840200000,1,8847220000,64,7848060000,0,0
23,8848200000,7,981,8847220000,8847000000,8847200000,1,8847299000,2,1,981
20,8855220000,7,982,8855000000,8855200000,1,1,64,0,0,0
21,8855310000,7,982,8855300000,8855220000,1,0,8855310000,0,8855299000,1
21,8855330000,7,982,8855320000,8855220000,2,0,8855330000,0,8855319000,1
22,8856200000,7,982,1,8848200000,1,8855220000,64,7856060000,0,0
23,8856200000,7,982,8855220000,8855000000,8855200000,1,8855299000,2,1,982
20,8863220000,7,983,8863000000,8863200000,1,1,64,0,0,0
21,8863310000,7,983,8863300000,8863220000,1,0,8863310000,0,8863299000,1
21,8863330000,7,983,8863320000,8863220000,2,0,8863330000,0,8863319000,1
22,8864200000,7,983,1,8856200000,1,8863220000,64,7864060000,0,0
23,8864200000,7,983,8863220000,8863000000,8863200000,1,8863299000,2,1,983
20,8871220000,7,984,8871000000,8871200000,1,1,64,0,0,0
21,8871310000,7,984,8871300000,8871220000,1,0,8871310000,0,8871299000,1
21,8871330000,7,984,8871320000,8871220000,2,0,8871330000,0,8871319000,1
22,8872200000,7,984,1,8864200000,1,8871220000,64,7872060000,0,0
23,8872200000,7,984,8871220000,8871000000,8871200000,1,8871299000,2,1,984
20,8879220000,7,985,8879000000,8879200000,1,1,64,0,0,0
21,8879310000,7,985,8879300000,8879220000,1,0,8879310000,0,8879299000,1
21,8879330000,7,985,8879320000,8879220000,2,0,8879330000,0,8879319000,1
22,8880200000,7,985,1,8872200000,1,8879220000,64,7880060000,0,0
23,8880200000,7,985,8879220000,8879000000,8879200000,1,8879299000,2,1,985
20,8887220000,7,986,8887000000,8887200000,1,1,64,0,0,0
21,8887310000,7,986,8887300000,8887220000,1,0,8887310000,0,8887299000,1
21,8887330000,7,986,8887320000,8887220000,2,0,8887330000,0,8887319000,1
22,8888200000,7,986,1,8880200000,1,8887220000,64,7888060000,0,0
23,8888200000,7,986,8887220000,8887000000,8887200000,1,8887299000,2,1,986
20,8895220000,7,987,8895000000,8895200000,1,1,64,0,0,0
21,8895310000,7,987,8895300000,8895220000,1,0,8895310000,0,8895299000,1
21,8895330000,7,987,8895320000,8895220000,2,0,8895330000,0,8895319000,1
